,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
171,Great temp job,3.0,"Salary, easy job, nice environment","Management, constant changing processes, ur calls are never good enough, theres a reason they pay well, waste of time, hamster wheel",Be the first to find this review helpful,2019-06-15, Customer Care Representative ,Columbus, OH,Former Employee, more than 1 year
172,Micro Management Central,2.0,"Decent benefits, some good people to work with.","Micro managed to death.  No room for your personality.   You either do it the way ""we've always done it"" or you don't know what you are doing.   You're either in the clique or out of it.  If you're out of it, expect your life to be hell.  If you can kiss but and tell your manager how great they are, you may go far.",2 people found this review helpful,2019-06-03, Field Engagement Manager ,Columbus, OH,Current Employee, more than 3 years
173,Great company,4.0,This company really cares about it's employees and their work/life balance.,They have cut hours since losing a larger client.,1 person found this review helpful,2019-06-03, Customer Solutions Specialist ,,,Current Employee, less than 1 year
174,I love working at Alliance Data,5.0,Open door policy. Generous vacation and Holiday pays. Competitive salary. I make my own schedule. I work from home. Fantastic supervisors who genuinely care about me and helping me succeed. Opportunity to move up or lateral moves. All higher ups are approachable on a personal level and work hard to help Associates find a good work/life balance. The management listens to their Associates and make us feel valued.,"If you hate talking to people or being on the phones a lot, this isn't the job for you. The harder you work, the more money you make. I actually think this is more of a Pro because I'm a hard worker. Some people may think this is a Con.",4 people found this review helpful,2019-05-21, Payment Retention ,Conway, AR,Current Employee, more than 1 year
175,"Poor upper management, no communication, horrible and unfair bonus payout system",1.0,"Make own schedule, the people who worked there","Unfair and unequal treatment, expect to be written up for things that you had no previous knowledge of, expect voluntary turn to mandatory, mixed messages or no messages from the top leadership at the site.",2 people found this review helpful,2019-05-17, Collector ,Akron, OH,Former Employee, more than 1 year
176,CoBrand,3.0,This company is very committed to the community and giving back.,"You were dinged for calling the assistance line to get an answer. Breaks were not to be more than 15minutes. Your phones were monitored. Every time you were not taking calls, you would get a phone call. It is too micromanaged.",2 people found this review helpful,2019-05-15, Cobrand Specialist ,Lenexa, KS,Former Employee, more than 3 years
177,Good company to work for,4.0,Good people. Strong culture of helping others and the community.,I don't really have any significant negatives.,Be the first to find this review helpful,2019-05-09, Senior Financial Analyst ,Dallas, TX,Current Employee, more than 1 year
178,Worst place to work-stay away,1.0,"Pay was great. It was nice having a fitness center on site as well as a cafe. Also, it was nice having the option to work from home.","I was treated like dirt from day one. Felt like I wasn’t valued. If you’re not in the clique, you’re treated like a leper by management. I worked hard everyday and was still told it wasn’t enough. I’m pretty sure I was discriminated against for my disability but I don’t have proof. Also, they are eliminating jobs, laying off people left and right and moved a lot of jobs to India. I’d advise you to stay away! Far away!",4 people found this review helpful,2019-05-06, Analyst ,Columbus, OH,Former Employee, more than 5 years
179,Great company to work for,5.0,"Work life balance, Growth opportunities, Culture",None I can think of,Be the first to find this review helpful,2019-05-02, Anonymous Employee ,Columbus, OH,Current Employee, more than 10 years
180,Horrible place to work,1.0,There were previously “pros” they’re all gone now,"Senior management has no idea what they are doing. They also lie consistently about the direction of the company and especially to their employees about performance. Don’t believe any of the things you read. Just more lies from a company whose culture has changed completely. Senior management team only care about the stock price and their options, not the employees",6 people found this review helpful,2019-05-01, Anonymous Employee ,,,Current Employee, more than 3 years
181,"Started off like a fun, exciting job but then it got too stressful and seems like they’ll fire you for anything.",3.0,Love my co workers. The companies benefits is pretty good. And depending on the department you don’t have to work the full 40 hours.,Can get fired for anything. Inconsistent with rules and regulations. Customers can be very verbally abusive.,3 people found this review helpful,2019-04-30, Collections Specialist ,Westerville, OH,Current Employee, more than 1 year
182,Very intense and stressfull environment.,1.0,Great team members!  Free fresh fruit and free popcorn on Friday!  All the coffee and soda that you can drink all day long.,Terrible boss!   A micro-managing perfectionist!   Lot's of overtime hours just to keep up with the workload.    They will work you to death!,1 person found this review helpful,2019-04-30, Senior Programmer Analyst ,Plano, TX,Former Employee, more than 1 year
183,Avoid like the plague,1.0,"- Pay is decent
- Good amount of time off","- Removed bonuses
- Treats employees poorly
- Revenue is going down, they are ""restructuring"" which means laying people off without notice.
- Training is poor.",11 people found this review helpful,2019-04-26, Case Manager ,Cleveland, OH,Former Employee, more than 8 years
184,Amazing place to work!,5.0,"Really good pay, above industry standard, without even a college degree. They give  you all the training  you need, plus they have a ton of benefits. They really take care of their employees. I only left because I was moving for school.","stress: it's a call center, and you have to deal with angry customers. that's pretty much the only bad part. Great co-worker community.",Be the first to find this review helpful,2019-04-25, Customer Service ,Columbus, OH,Former Employee, more than 3 years
185,"Unprofessional, toxic, and abusive environment",1.0,"Ok pay for a phone monkey job, great cafeteria, benefits","Toxic, abusive, consuming, unprofessional, HIGH turnover, no career advancement, no place for college educated professionals, office area VERY limited if you rely on public transportation.
DON'T work here! The turnover rate is 58% for a reason. The environment is toxic and abusive. You are treated like a piece of equipment that had better not have any problems or you are threatened with your job. If you become ill or have any personal emergencies you will be penalized and threatened with your job.  I wound up on short term disability due to illness and I almost wound up homeless because of the careless way AllianceData and their insurance company handled my claim and I caught both Alliance and the insurance company in lies regarding my claim. This place is unprofessional, and they will take anyone desperate for a job. If you are educated make sure you don't apply here because a degree is useless here, and your job will NEVER progress beyond being a phone monkey. Regardless of how the customers behave it is ALWAYS your fault and you will be threatened with your job if you can't make them love you or stop taking their own problems out on you. This job is fine for those suffering in food service or some other unskilled job, it's at least an office, but it is an office that uses people up until they can't take any more, and it's a dead end as far as progress or career goes. If you are someone who is educated, wanting to progress in life, and you expect to be treated like a human being, pass this place up, leave skid marks.  If you are uneducated,  have no real plans for your future,  you don't mind being treated like garbage, or an expendable nothing, and if you don't have enough on the ball to make it in a professional company, this is your dream job. If this company is professional, how can a CEO keep his job when turnover is THAT high? You will also be promoting products that have horridly HIGH interest rates and very angry customers. You have been warned!  If you lose your car or if you don't have one you really need to pass this place up. Public transportation in this area is VERY limited and if you work odd hours or weekends you will be paying for cabs or some other expensive transportation.",2 people found this review helpful,2019-04-17, Customer Advocate ,Westminster, CO,Former Employee, less than 1 year
186,Great place to be!!!,5.0,"Every person cares and your success
helps you succeed outside of work as well 
Pay is great and more than most people make in our local area","There are no cons, I have no idea what the other reviews are talking about",Be the first to find this review helpful,2019-04-15, Case Manager ,Coeur d'Alene, ID,Current Employee, more than 3 years
187,Great company to work for,4.0,"Excellent benefits, paid time off is relatively generous",Annual raises don't keep pace with starting salaries,1 person found this review helpful,2019-04-10, Customer Service Representative ,Whitehall, OH,Former Employee, more than 5 years
188,Meh...,3.0,"Flex schedule
Awesome benefits package
Monthly incentive bonuses","Inexperienced management
Grew too fast
Hires anyone off the street",1 person found this review helpful,2019-04-04, Payment Solutions Specialist ,Westminster, CO,Former Employee, more than 5 years
189,Not bad!,4.0,It was a great learning opportunity with amazing training.,"Lots of administrative work, but a great place to work.",1 person found this review helpful,2019-04-04, Supervisor ,Rio Rancho, NM,Former Employee, more than 1 year
190,Big Company,4.0,Great Benefits and fellow employees,Difficult to advance in technical careers,Be the first to find this review helpful,2019-04-02, Senior Programmer ,,,Current Employee,
191,Great Company - Bad Leaders,2.0,"- pay was great
- overall message was great
- work life balance WAS okay until changes in the management","- poor growth programs
- understanding of employees individuality is only at high level
- once you are not part of the clique you are pushed out
- the employees are scared to whistle blow on any of these actions
- for those that are new they live in bliss, once the truth comes out they are bullied",7 people found this review helpful,2019-03-31, Field Engagement Manager ,Columbus, OH,Former Employee, more than 3 years
192,"Negotiatiate, be assertive and collect balances on past due accounts",3.0,"Work from home, make your own weekly schedule, monthly bonuses, advancement opportunity, nice work environment and continuous recognition for hard work and dedication","Micro-managing. 

Your monthly target metrics is based off of a percentage of the highest collecting associate which fluctuates from month to month.",Be the first to find this review helpful,2019-03-25, Anonymous Employee ,,,Former Employee,
193,Not wothy,1.0,"Cab facility, dont expect much","Worst workplace too much of politics,  they consider office as their forefathers house.  No growth prospects. Hike is just like peanuts",2 people found this review helpful,2019-03-12, Anonymous Employee ,,,Current Employee, more than 3 years
194,Fantastic place to work for any experience,5.0,There are tons of opportunities for growth in the company. Idk what these other reviews are talking about. Been there 6 years and moving up steadily. Great pay for even those with no experience. Management cares. They even put in a free clinic and stress free room. Cheap cafe.,None really. These other reviews are nuts. They care about you there,1 person found this review helpful,2019-03-10, Global Customer Support ,,,Current Employee, more than 5 years
195,Not technical,3.0,"Relaxing work environment, no overtime work normally","This company is not rechian driven, all values are more based on sales and clients relationships",3 people found this review helpful,2019-02-19, Data Scientist ,Columbus, OH,Current Employee, more than 3 years
196,"Toxic, Stressful Culture Overshadows Any Postivies",2.0,"Competitive salary, decent benefits, some good coworkers.","A highly stressful, ever-changing, goal-oriented job where there is little care for the well-being of employees and only a care for the financial accomplishments of the employee. Tell you you'll advance quickly but you don't.",4 people found this review helpful,2019-02-11, Collections Associate ,Westerville, OH,Current Employee, more than 1 year
197,Great place to work!!,5.0,Very employee oriented. They really care and help you reach your personal goals. They promote within. If you so choose you can go far with this company.,Poor communication skills between departments.,Be the first to find this review helpful,2019-02-04, Account Protection Specialist ,Coeur d'Alene, ID,Former Employee, more than 1 year
198,Good place to work,4.0,"You will get opportunity to gain visibility to the upper management, if you are with the right team.","More Networking and Team events can be very helpful, to showcase talents.",1 person found this review helpful,2019-01-21, Senior Analyst ,Plano, TX,Current Employee, less than 1 year
199,"Overall good culture, benefits.",4.0,"Nice people, treated with respect, never a dull moment.",Results driven to an extreme that can cause worker fatigue.,Be the first to find this review helpful,2019-01-13,  ,,,Current Employee,
200,Great place to work!,5.0,"ADS is a great place to work, excellent work/life balance.","I have no complaints, no cons.",Be the first to find this review helpful,2019-01-13, IT GRC Specialist ,Plano, TX,Current Employee, more than 3 years
201,Great company with amazing peopel,5.0,"Great culture, straight meritocracy where hard work gets rewarded, competitive pay/benefits",Standard politics you'll see anywhere so not really an issue,Be the first to find this review helpful,2018-12-21, Senior Financial Analyst ,Plano, TX,Current Employee, more than 3 years
202,Awesome place to work at!,5.0,Training consisted of three weeks and they were very thorough.  Training taught me the skills to learn the new job and skills.  They pretty much took care of their associates.,None.  I liked everything about Alliance Data.,Be the first to find this review helpful,2018-12-18, Customer Service Representative ,Rio Rancho, NM,Former Employee, more than 1 year
203,Pays good but will drain you mentally,2.0,"Good pay
Great benefits 
Good cafe 
Good coworkers 
Good Supervisor","Irate customers
Call center 
Senior management 
Micromanage 
Stressful",Be the first to find this review helpful,2018-12-18, Anonymous Employee ,,,Former Employee,
204,"Great managers, supportive teaam but becoming a victim of hyper growth",3.0,"Amazing managers during my tenure, good teammates and was very fortunate they treated the team well and cared for our work/life balance.","High turnover in depts (50%), long hours, lack of vision about how to implement an ongoing concern of lack of diversity. Senior leadership ignores all suggestions for improvement. Very difficult to advance if you don't play the game.",2 people found this review helpful,2018-12-17, Anonymous Employee ,Columbus, OH,Former Employee, more than 3 years
205,Growing Company,4.0,Great people and benefits here.,Not much room to grow at this site.,Be the first to find this review helpful,2018-12-14, Anonymous Employee ,,,Former Employee,
206,Awful Place to Work,2.0,"Extensive training, pay and expensive benefits.","This a horrible place to work. They have constant turnover, hence not a good place to work.
It's stressful with their micromanagement, metrics and how you speak to customers. Even when you don't know the answer to a customers question, you can't put them on hold (or it mess up your metrics), management is slow with guidance in your nesting period and heaven for bid you miss time for any reason. 
If you don't meet their unattainable metrics, it's three strikes your out.
Do not work for this awful employer. The money and benefits aren't worth the stress!",1 person found this review helpful,2018-12-11, Customer Service Representative ,Westminster, CO,Former Employee, less than 1 year
207,Good company,4.0,Great healthcare and benefits for employees.,"At times, leadership does not have a clear path forward.",Be the first to find this review helpful,2018-11-27, Anonymous Employee ,,,Current Employee,
208,Bilingual Payment Solutions,3.0,"Great pay and benefits, onsite cafeteria","Management can be better, no room to worry about your personal life. They make the job come before anything else even your health family etc.",Be the first to find this review helpful,2018-11-26, Anonymous Employee ,Westminster, CO,Former Employee,
209,Specialist,4.0,"They provide opportunities for community evolvement, on-site fitness center, on-site cafe involvement",There is poor training of managers. There are employees given manager positions who have no idea how to manage people.,Be the first to find this review helpful,2018-11-09, Anonymous Employee ,,,Current Employee,
210,Bank card,5.0,Good pay benefits great raises hours,Changes management overtime bonuses,Be the first to find this review helpful,2018-10-31, Anonymous Employee ,,,Former Employee, more than 3 years
211,Collections Associate,3.0,"Co-workers are amazing and the benefits are wonderful, the atmosphere is decent given the smaller location here in Colorado","Stressful month to month evaluation, no room to be creative, scripted and profits above all else",Be the first to find this review helpful,2018-10-30, Anonymous Employee ,,,Current Employee,
212,Very good company to work and learn,4.0,Infrastructure should be changed and English should be minatory,The learning  curve will be very good,Be the first to find this review helpful,2018-10-29, Data Scientist ,Bangalore,,Current Employee, more than 1 year
213,Great at first,2.0,"Great benefits,  set your own schedule","Management, no consistency, favoritism, lots of promises none kept",4 people found this review helpful,2018-10-25, Payment Solutions Advocate ,Westminster, CO,Former Employee, more than 1 year
214,OK job,1.0,"Good money,  and OK hours","Management, not enough communication, bad for business",1 person found this review helpful,2018-10-21, Collections Specialist ,Lenexa, KS,Former Employee, less than 1 year
215,"Great company, great culture",4.0,"Has the energy of a growing, succesful company.  Lots of passionate people and employee engagement.  Obvious care and investment in people, including a program dedicated to hiring new college grads.  Lots of internal promotions and growth opportunities.",With rapid growth frequently comes some challenges with process maturity not keeping up and scaling.  This can result in some frustration in getting the job done.  The challenges are recognized though and I see effort and money being put towards continuous improvement.,Be the first to find this review helpful,2018-10-21, Anonymous Employee ,,,Current Employee,
216,Good work environment but pays less,3.0,Good and friendly work environment.,"Pay less comparatively.
Too much work for 8 hrs.",1 person found this review helpful,2018-10-18, Technical Business Analyst ,Wakefield, MA,Former Employee, more than 3 years
217,Ads,5.0,Great company benefits pay and culture,Lots of re orgs,1 person found this review helpful,2018-10-14, Anonymous Employee ,,,Current Employee,
218,Good experience,3.0,"Good benefits, opportunities and pay",Company is growing too fast,Be the first to find this review helpful,2018-10-12, Anonymous Employee ,,,Current Employee,
219,Overall Great Company To Work For,4.0,"This was the best job I've ever had. I was paid over $15/hr and $16/hr after 5:30 PM.  The training was fun and my trainer made the learning process easy and fun for us! We learned a lot and spent a lot of time laughing and telling stories, but also made sure we knew what we were doing for when training was over. After four weeks of training we were allowed to sign up for overtime even while in nesting. After nesting (four weeks) we were given 72 hours of PTO to use at our disposal, and this was only for the first half of the year. If you don't use your PTO which is 154 hours total for the year, they'll cash you out for it. We got our own cubicles which we were allowed to decorate and I always had something to do while taking calls to keep me busy. I am great with dealing with rude customers and they don't get to me or affect me as much as other people so this was the perfect job for me. Time went by super fast each shift and they almost always offer VTO where you may be approved to leave early if that's what you want. The OT is unlimited as well. When it was slow (which was mostly at night at most weekends) it would be 5-20 minutes in between  calls and we were able to have down time to talk to co-workers or watch a movie on the flat screens etc. They have a kitchen with actual workers cooking breakfast, lunch, and dinner as well as convenience type snack items as well. We also had the ability to switch schedules for a day or multiple days if it was approved which almost always were in my case. My schedule was 12:15-8:45, but i always got approved to switch to 8am-4:30 PM or they would send out emails about schedule changes on certain days that you can use. Unfortunately, I had to stop working here due to personal issues, but I'm eligible for rehire this month, and I pray I can go back! The culture is amazing and it doesn't feel like your working in a call center, especially compared to the gorss, small, cubicle/equipment sharing call centers I've worked at.","Only con would be the attendance policy! My training was in December and my car spun off the road on the highway on the way to work. (I took pictures of it and still came into work less than an hour late), but due to this I was not able to receive my holiday pay and I still received a point for being late, although it was out of my control. Also the surveys. I know I was a GREAT CCR.. they have policies in place regarding fees being waived, etc, and if a customer already received a late fee waiver we could only give them one if their account showed they were eligible, or if they threatened to close the account. No matter how nice, friendly, and empathetic you are, some of the customers will give you a bad survey simply because the policies in place prohibited you from doing whatever it is they wanted you to do. If you waive the late fee when you're not supposed to, you get an email and get in trouble, but if you don't and the customer leaves a bad survey, you get in trouble for that as well. I feel as though these should only count against us if we genuinely didn't do our best to assist the customer, we shouldn't be held accountable for customers being upset that we have to follow company policies.",4 people found this review helpful,2018-10-10, Customer Care Representative ,Lenexa, KS,Former Employee, less than 1 year
220,Best company I ever have worked for,5.0,"There are too many great things to say about this company! Balance between work and home needs are #1.  My husband was ill with cancer; everyone worked with me to reset my schedules so I could be beside him through all the appointments, chemo, surgeries, etc. When I became ill again they worked with my schedules. If you want to advance there a several career opportunities and they give us the tools to succeed in career advancement. The culture is great as we help our community and the company helps those across the nation when tragedy strikes. I am proud to work for this company",I do not have any cons; I wish bonuses were still in effect though,Be the first to find this review helpful,2018-10-08, Customer Care Advocate ,Rio Rancho, NM,Current Employee, more than 3 years
221,great benefit and environment,5.0,great benefits and schedule flexibility. great management,nothing bad. Everything is great in this company,Be the first to find this review helpful,2018-10-01, Supervisor ,Columbus, OH,Current Employee, less than 1 year
222,Awesome Work Life Balance Company,4.0,"Work Life Balance
Benefits 
401k Matching
Tuition Reimbursement","Advancement Opportunities (lack of)
Non-competitive salary",1 person found this review helpful,2018-09-29, IT Analyst ,Columbus, OH,Current Employee, more than 1 year
223,One focus...MONEY!!,1.0,"Recognition/points system, W@H, word, word, word.","Pay, Overall Employee Policies (attendance, bonus disqualifying, call quality), management (partial, immature, unprofessional), but most importantly...this company doesn’t care about their customers. Antiquated systems and processes result in unhappy and mistreated customers. The cost...high employee turnover and tons of customers closing accounts.",7 people found this review helpful,2018-09-29, Anonymous Employee ,,,Current Employee, more than 1 year
224,Account Detection Associate,4.0,"Friendly environment, helpful, opportunities for growth",No real cons come to mind,Be the first to find this review helpful,2018-09-28, Anonymous Employee ,,,Current Employee,
225,Alliance has been great from the very beginning of the interview process.,5.0,"Awesome atmosphere, great benefits, amazing energy",I haven’t found any yet,Be the first to find this review helpful,2018-09-25, Retention ,Westminster, CO,Current Employee, less than 1 year
226,Amazing Company,5.0,Great Benefits! Would recommend to a friend.,No cons that I can think of.,Be the first to find this review helpful,2018-09-24, Anonymous Employee ,,,Current Employee,
227,Work life balance available,5.0,"Work life balance,  the culture and people that you work with make all the difference",None to share at this time,Be the first to find this review helpful,2018-09-11, Anonymous Employee ,,,Current Employee,
228,Family environment,3.0,"Amazing atmosphere, family vibes, great growth, moving forward",Not many at all. Just leadership taking associate feedback and putting it into practice.,Be the first to find this review helpful,2018-09-04, Inserter Machine Operator ,Reynoldsburg, OH,Current Employee, more than 1 year
229,Business Department,5.0,"In my experience, the management team has been great.",I have no cons to share at this moment.,Be the first to find this review helpful,2018-09-04, Anonymous Employee ,,,Current Employee,
230,Need to find a way out,1.0,"Bonuses, when they don't make up ways to take them from you.",Pretty much the whole job.,4 people found this review helpful,2018-08-31, Anonymous Employee ,,,Current Employee,
231,Analyst,2.0,"Nice campus, pay, and benefits.","Leadership in Accounting/Finance is completely out of touch with their people. There are some incompetent analysts who are protected by leadership for some reason. This is to the detriment of the good analysts. Numerous complaints are made, but if you speak up, you are “counseled out.” Not an honest atmosphere. Most woman promoted have no people skills, and no one wants to work for them.",3 people found this review helpful,2018-08-29, Analyst ,Columbus, OH,Current Employee, more than 3 years
232,Great place!,5.0,Wonderful management! Weight watchers program + Fitness reimbursement helped a lot + CEO very involved and passionate about the company,1 hour lunches would be better,Be the first to find this review helpful,2018-08-27, Customer Service Associate ,Rio Rancho, NM,Former Employee, more than 1 year
233,Manager,4.0,The people you work with are fantastic!,Executive Leadership is only concerned with cost cutting and fake the people side of the business,3 people found this review helpful,2018-08-21, Anonymous Employee ,,,Former Employee, more than 10 years
234,Law Clerk,5.0,Amazing people and growing company. Excellent experience.,"Rapid change, must be adaptable.",Be the first to find this review helpful,2018-08-06, Law Clerk ,Columbus, OH,Current Employee, more than 1 year
235,customer service,2.0,"Co workers were great. You can do  things at your station while taking calls. (crafts, knitting etc)  Great healthy food choices.",Schedule  not  good for single parent. The abuse from callers.  The bonus plan changed from when I was training to on the floor which  was very disappointing.,2 people found this review helpful,2018-08-03, Anonymous Employee ,Rio Rancho, NM,Former Employee, less than 1 year
236,Pays money for people to verbally abuse,3.0,Money is decent for unskilled laborers work,The work is never going to be fulfilling or leave you feeling you've made the world a better place,1 person found this review helpful,2018-07-30, Customer Care Representative ,,,Current Employee,
237,Exactly what you can expect,2.0,"Alright pay,  casual dress code, fun activities once in awhile for employees.","Lack of work life balance, forces you to have a good customer satisfaction score even though you do all you can the companies policies set you up for failure. You basicly have to be ok with getting talked down to all day.",2 people found this review helpful,2018-07-30, Customer Care Representative ,Westminster, CO,Former Employee, more than 1 year
238,Customer Service Representative,3.0,"Listed as one of the best places to work, there are decent pay and benefits. They are always working to grow and change and lead the way in the industry. They are fairly receptive to feedback. The schedule is fairly consistent which allows for some ability to schedule life outside of work. They encourage coloring at your desk, knitting, or reading if it helps you stay stress free.","It seems like they force enthusiasm on associates. Also you have to earn the ability to change your schedule which is hard, and when you get off at night everything is closed for the day.  So it is fairly hard to get back schedule change. Working with customers one after another is draining and during high call volume you get less then a second between calls.The strict work schedule leaves less time for work life balance. On the weekends all I want to do is sleep or do something that interests me.",1 person found this review helpful,2018-07-28, Customer Service Representative ,Rio Rancho, NM,Current Employee, less than 1 year
239,Payment Soultions,3.0,Making your own schedule. Being able to change your schedule a day before. Sick time. Pto time. AND WORKING FROM HOME,If your doing good they move you to a harder department. They just kee moving you until you’re not even being successful and instead of just moving you back to where they actually hired you for they write you up and fire you,3 people found this review helpful,2018-07-26, Anonymous Employee ,,,Current Employee,
240,Amazing place to work!,5.0,"Amazing bonus potential, flexible scheduling, great management, fun and positive culture where leadership genuinely cares and wants you to do well.  Beautiful new building with some amazing views, site is growing so there's a lot of potential for career advancement.","No negatives, excited to see our site continue to grow!",1 person found this review helpful,2018-07-24, Anonymous Employee ,Draper, UT,Current Employee,
241,Upper Management Down the Tubes,1.0,This place gets worse every year.,"Upper Management does not have the experience needed and it shows every day. 
Very unprofessional/unorganized for a call center/financial institution. 
Managers all have a fake smile and will fire you at the drop of the hat if you don't ""fall in line"".",3 people found this review helpful,2018-07-23, Anonymous Employee ,Rio Rancho, NM,Current Employee, more than 5 years
242,Poor Upper Management,2.0,"turn around rate, more opportunity for new employees","not paid what you are worth, upper management disorganized",2 people found this review helpful,2018-07-22, Anonymous Employee ,,,Current Employee,
243,Collection,5.0,They care about employees. Great pay.,None. Keep doing what you're doing. I'm excited to see how big Draper grows!,1 person found this review helpful,2018-07-20, Collections ,Draper, UT,Current Employee, less than 1 year
244,Same as all other call centers......no difference,1.0,"Cafeteria, decent benefits, gym, flex schedule","No different than all other call centers dedicated to collections. They offer bonuses but you may not qualify for them for a variety of reasons......micromanaged environment of course. Terrible training, obsolete tools and applications to do your job, inexperienced supervisors giving the wrong advice. Stay where you are whether is Wells Fargo, Discover or other similar call centers.",4 people found this review helpful,2018-07-18, Collector ,Draper, UT,Current Employee, less than 1 year
245,ww,5.0,"good company
best things can be learn for fresher
marvelous",need to improve certain areas,Be the first to find this review helpful,2018-07-15, News Editor ,Dadar,,Current Employee, more than 1 year
246,Collections,1.0,Overtime was good ok bonuses,Horrible coaching and dont communicate when see s problem,3 people found this review helpful,2018-07-14, Collections ,Spokane, WA,Former Employee, more than 1 year
247,Job overview,5.0,"Wonderful people, culture, come to work and you can make serious money. I was a bit skeptical when I first heard about this company but the hiring process was very detailed and smooth. recruiter made themselves available through email and would always respond to any questions or concerns I had. I am thrilled to work for this company and see where this job takes me. I think if you show up to work, teachable, adapt, this job is for you! I honestly never heard of a company that offers so many benefits. please look in to this job if you do collections.",I do not have any cons,1 person found this review helpful,2018-07-13, Payment Solutions ,Draper, UT,Current Employee, less than 1 year
248,Payment solutions specialist,5.0,"This company has so many perks I don't know where yo start. I have been working here for just over a month & have nothing to say bad about them. You create your own schedule, benefits are amazing, the people are great. This sight is new & absolutely beautiful along with the view. Wow!! Best company I've ever worked for this far. I can't name all of the great things they do. Not enough room on here to put all of them.",I don't have any complaints,1 person found this review helpful,2018-07-13, Payment Solutions Specialist ,Draper, UT,Current Employee, less than 1 year
249,Customer Service Advocate,3.0,"Work at home program, Fair pay, nice co workers.",If you work from home your supervisor is in another state so no real connection is established. The customers are able to rate the call at the end ofbthe call. If you score bad at the end of the month you are  written up and if it continues it will become a termination no matter how well you tried to help the customer. It will also affect getting a incentive bonus.,Be the first to find this review helpful,2018-07-10, Customer Service Advocate ,Lenexa, KS,Former Employee, more than 8 years
250,Awesome company to work for.,5.0,"Great benefits, great atmosphere.",Brand new call center.,2 people found this review helpful,2018-07-10, Associate ,Draper, UT,Current Employee, less than 1 year
251,Operations Lead,5.0,"Can’t do enough for its employees, both for advancement and benefits.",Keep doing what your doing!,1 person found this review helpful,2018-07-10, Operations Lead ,Draper, UT,Current Employee, more than 1 year
252,Berevement leave is generous,5.0,Being allowed to take a full day off for the funeral of a friend's sibling,None worth mentioning so far,Be the first to find this review helpful,2018-07-10, Anonymous Employee ,,,Current Employee, less than 1 year
253,Extremely Stressful and Inconsistent,1.0,"Great benefits (matching 401k, health and life insurance).  A lot of time off is provided.   The managers are great at pretending to care.   Some of the zero calls are disputed. There is a facade of friendly culture and if you buy into it, you might enjoy this job.   Their music videos are incredible and put together by a professional team of editors.","The time off must be scheduled at least a month in advance or a penalty is given for using it.  It cannot be used as sick time . I was almost terminated for calling in twice because of the point system. Once because I had a dr's note and had laryngitis  and the other time because my daughter had croup .

No option to switch clients, once you're assigned to a bucket, you cannot be moved. 

They constantly mess up the scheduling and it takes weeks to fix.

Negative surveys that you have no control over are weighed more heavily than positive surveys where you genuinely helped the client. 

Extremely inconsistent.  The supervisors will not always back you up even if you're correct. You get  lectured on your stats and not waiving fees, then the supervisor turns around and waives a customer's entire balance. They will even try to talk you into breaking the rules to avoid taking the escalated call. 

It does not matter if you yourself are rated at 100%, if the company is rated zero even for something outside of your control, then the call is a failure and weighs heavily against you.

Favoritism. 

Associates who take easier shorter calls will be ranked higher than associates who take difficult longer calls, despite the former associates doing more to help the customer.  It is not about helping the customer, its just about numbers.

Not being allowed to hang up on abusive customers  takes a toll on mental health. Being micromanaged is tiring.

They will sit employees in a room and have all supervisors from all three sites on the phone and everyone will listen to the calls and rate them.  The associate in the hot seat is basically roasted by all the supervisors at once. It is not a private discussion between your supervisor and yourself, but instead a humiliating roast that shames you into doing better on your calls.  

The system is set up so someone is ALWAYS at the bottom. Even if everyone in the entire call center did amazing, there would still be at least 20 associates in the ""RED"" because the ranking system is set up to always have people at the bottom in the red. Not everyone can be green all at once.  

Training from other associates with less experience and knowledge.   They will have employees who are not even in your bucket and less tenure train you on how to take calls in your bucket.  

All of the growth and opportunities are sideways instead of up.",6 people found this review helpful,2018-07-10, Customer Service Representative ,Rio Rancho, NM,Current Employee, more than 1 year
254,Great Place to Work!,5.0,"This is a great place to work! You get to have a flexible schedule. The better you perform, the better chance you can work exactly what you want. I attend Church on Sunday's so I don't work Sunday's. No problem! They have a beautiful new building in Draper with great views all around. Desks are all adjustable between sitting and standing and are adjusted by touching a button! Supervisors are fantastic! There is always someone to help when needed.  Alliance Data is growing rapidly and we need more good workers!","I thought the shorter lunch breaks were tough, but I've been able to get used to them. If you schedule longer lunches, you will have to work longer hours. No Cons I've seen. To another review saying there aren't many places to eat close by . . . Most if not all lunch places will deliver,",1 person found this review helpful,2018-07-07, Associate ,Draper, UT,Current Employee, less than 1 year
255,Great Place to Work !,5.0,"Competitive Basic Wages, High Attainable Bonus Structure, Great Culture, High Schedule Versatility.",SLC Location is a bit far away from restaurants for lunch options.,Be the first to find this review helpful,2018-07-06, CA5 Collections ,Salt Lake City, UT,Current Employee, less than 1 year
256,"Amazing Company.

I just completed training, and am so excited to officially begin work for this great company",5.0,"Create your own schedule, extensive benefits, supportive management, great facility, incentives, etc.",I don’t have any complaints,Be the first to find this review helpful,2018-07-05, Payment Solutions Associate ,Sandy, UT,Current Employee, less than 1 year
257,Culture,2.0,Good benefits and good PTO,Culture can get very unprofessional,3 people found this review helpful,2018-07-04,  ,,,Former Employee,
