,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
957,Good Place to work,4.0,good place to work with latest technology,need to have proper road map,Be the first to find this review helpful,2016-05-15, Anonymous Employee ,Bangalore,,Current Employee, more than 3 years
958,Terrible experience,1.0,"Good pay, Good work life balance","Everything else, an overall terrible experience",2 people found this review helpful,2016-05-12, Marketing Manager ,,,Former Employee,
959,Product Engineer,3.0,"Good Salary
Office with underground parking","Organizational structure are too complex.
Waste too much time on meaningless meetings.",Be the first to find this review helpful,2016-05-06,  ,,,Former Employee,
960,Good,5.0,"Amazing experience
Good location
Free parking in garage
Great atmosphere","Not much downsides for an intern, lots to learn and pay was great",Be the first to find this review helpful,2016-05-04, PEY ,Markham, ON,Former Employee,
961,Great place to learn,5.0,Great place to learn for a co-op student,I can't think of any cons,Be the first to find this review helpful,2016-05-02,  ,Austin, TX,Former Employee,
962,PEY Software Enginner,3.0,"casual, not stressed, flexible work schedule",not much to learn other than debugging skills,Be the first to find this review helpful,2016-05-02,  ,,,Former Employee,
963,One of best employers in the world,5.0,Great opportunity to advance your career. Great people to work with,Every day is as exciting as it has always been,Be the first to find this review helpful,2016-05-02, Member Of Technical Staff ,Markham, ON,Former Employee, more than 10 years
964,Lots of positive change. Radeon Technologies Group is excellent.,4.0,"AMD has been in a lot of turmoil over the past few years, but it feels like it's turning around. Especially if you are in the RTG side (graphics), AMD can be a great place to work, especially with a good direct manager. Raja Koduri has proven to be a great leader and has accomplished a lot to turn around the culture and ""vibe"" within the company. There are plenty of opportunities to make an impact, especially at this point in time. This is pretty rare for a company of this size and age.","IT at this company has been getting a lot of attention, but doesn't seem to be improving. They continually prove to be far better at creating obstacles instead of solutions. It's easily the #1 complaint of both new employees and veterans at AMD. I am surprised that the top executives and management of infrastructure and IT have survived this long.",4 people found this review helpful,2016-04-30, Anonymous Employee ,Sunnyvale, CA,Current Employee, more than 3 years
965,Great place.,3.0,Great place for newcomers. Great Work Life balance.,Lot of legacy environments. Slow work pace.,Be the first to find this review helpful,2016-04-29, Senior ASIC/Layout Design Engineer ,Sunnyvale, CA,Former Employee,
966,Passionate leadership and great place to work,5.0,Amazing peers and leaders. Ambitious leaders and committed execution. Lot of opportunity to learn.,Recognitions do come but are untimely. This led to high attrition over the last couple of years.,2 people found this review helpful,2016-04-28, Anonymous Employee ,Hyderābād,,Former Employee, more than 10 years
967,"Big, diverse and goals driven",3.0,"Good atmosphere, competitive compensation and hard work.","Some internal tools lack comprehensive tutorials, making it challenging to adapt quickly to the use of tools one has no prior experience working with.",Be the first to find this review helpful,2016-04-27, Design Engineer ,Herzliya,,Former Employee, more than 3 years
968,Product Development Engineer,4.0,Great working environment; Fact pace environment and a place for learning,Financially not doing well; Slow in promotion,Be the first to find this review helpful,2016-04-27,  ,,,Former Employee,
969,Too much politics,1.0,Old technology nothing to learn,Politics n no new technology,Be the first to find this review helpful,2016-04-26,  ,,,Current Employee, less than 1 year
970,Frequent layoffs,2.0,"Competitive pay and good benefits. Also, beautiful campus with on-site cafe, Starbucks, gym and game systems. Other than a few bad apples, mostly great people to work with.","A lot of great people, but bad management made me dislike my job. My boss would do anything to make himself look good. It didn't matter how badly he treated others. That being said, there were great people too that I really enjoyed working with. Also, layoffs were constant.",6 people found this review helpful,2016-04-24, Anonymous Employee ,,,Former Employee,
971,Excellent Company to work with,4.0,"* Very Global One AMD Culture
* Flexible working hours
* Global Functional Organisation
* Equal opportunities exist across the teams
* Good benefits even in adverse situations for the company","* Lack of leadership locally leading to lack of show-casing of talent
* Compensation imbalance compared to market in the similar industry
* Lack of common company policies across continents leading the discrepancy in executables",Be the first to find this review helpful,2016-04-15, Program Manager ,Hyderābād,,Current Employee, more than 8 years
972,Almost made it a career,4.0,Company has a huge heart and wants to succeed.  Loyal employees with great talent.  They fight the good fight.,Poor business outlook. Massive attrition over the last 3-5 years.  Most all perks have been laid to rest.  Severance packages are not what they used to be.,2 people found this review helpful,2016-04-12, Associate Engineer ,Austin, TX,Former Employee, more than 10 years
973,Tough times,3.0,Great people. Lots of microarchitecture gurus. Splendid work-life balance.,Poor business outlook. Massive attrition over the last 3-5 years. Uncompetitive compensation (in SF bay area).,4 people found this review helpful,2016-04-09, Senior Member of Technical Staff ,Sunnyvale, CA,Current Employee, more than 5 years
974,About company,5.0,"Excellent working environment, flexibility and learning opportunities.",I am not exactly sure about disadvantages.,Be the first to find this review helpful,2016-04-08,  ,,,Current Employee,
975,SALES,3.0,Great company nice atmosphere. It has lots of opportunity to grow.,It is very competitive to work there. you have to constantly learning new things.,Be the first to find this review helpful,2016-04-08,  ,Sunnyvale, CA,Former Employee,
976,AdvancedMD,5.0,"Lots of room to grow, great management","Some times you feel like your in a rudderless ship, hard to find a path to take,",Be the first to find this review helpful,2016-04-05, Customer Support ,Sandy, UT,Former Employee,
977,Event Marketing Manager 2,4.0,"good people, great benefits, exciting work, good management","lack of accountability, uncertain stability",Be the first to find this review helpful,2016-04-04, Senior Program Manager ,Austin, TX,Current Employee, more than 3 years
978,ASIC VLSI DESIGN ENGINEER,5.0,Best Place to work in sem-conductor,No Negatives about company. Nice products are in soon,1 person found this review helpful,2016-04-02, ASIC/Layout Design Engineer II ,Hyderābād,,Current Employee,
979,Nice company to work for ... while it lasts,3.0,"Small teams, great expertise. Few meetings","Unstable company, lots of lay-offs.",Be the first to find this review helpful,2016-03-29,  ,,,Former Employee,
980,An average organization,3.0,"Work Life Balance, Good Quality of Work","Less Salary,
Less Variable Payouts
Lesser leaves",Be the first to find this review helpful,2016-03-29, Staff Engineer ,Hyderābād,,Former Employee,
981,It is a job,3.0,There is a paycheck.  You get a few benefits.  Hours are long but sometimes flexible.   Lots of good people still work there.,Numerous.  Benefits are poor.  Health insurance is very expensive relative to other companies. You are not insured while traveling on company business.,Be the first to find this review helpful,2016-03-27, SMTS Design Engineer ,Austin, TX,Current Employee, more than 8 years
982,Internship Review AMD Verification,4.0,"- Startup like environment
- Each employee is valuable and given important task
- You can get to work in different teams same time provided your mentor is good
- Amount of work is lot and you can choose which tasks are of your interest that you want to complete over internship
- Good growth opportunity as the teams are small and do lot of work",- Companies long term stability in regard to its competition from Intel and Nvidia,Be the first to find this review helpful,2016-03-23,  ,,,Former Employee,
983,Product is the problem,3.0,"Price is cheaper than the competitor.
Fusion and HSA can be the merit.","No x86 CPU performance gain against Intel.
No ARM solution.",Be the first to find this review helpful,2016-03-22, Anonymous Employee ,,,Former Employee,
984,Solution Architect,5.0,Great people with a strong desire to succeed.,Previously poor management and decision making hinders the current environment. They are working to change but some mistakes take a long time to dig out from.,Be the first to find this review helpful,2016-03-22, Customer Solutions Architect ,Austin, TX,Current Employee, more than 10 years
985,Good client,4.0,Respects experience and intelligence; takes the advice they pay expert consultant for,Disconnected business units resulting in doubled or inconsistent efforts,Be the first to find this review helpful,2016-03-21,  ,,,Former Employee,
986,Engineer,5.0,"This is a great and fun place to work. My coworkers liked sharing ideas like me. The work is challenging, but fulfilling.","Nothing really. There's always that pressure in industry of getting the job done on time, but that's part of life.",Be the first to find this review helpful,2016-03-21,  ,,,Former Employee,
987,"My car title, house title, you review title. I haven't had coffee yet.",2.0,Good people. Immediate supervisors were top notch. Salaries used to be competitive.,"Bad management decisions, on several occasions.
Bad management decisions. Bad, bad, bad.....",3 people found this review helpful,2016-03-16, Member Of Technical Staff ,Austin, TX,Former Employee, more than 5 years
988,electrical engineer 2,4.0,"work culture, benefits, cafeteria, talent of co-workers",not knowing if your job will be eliminated next week,1 person found this review helpful,2016-03-15,  ,,,Former Employee,
989,engr,1.0,"easy job, life balance,","hard push, bad management, bad culture",2 people found this review helpful,2016-03-13, Software Engineer ,Toronto, ON,Former Employee, more than 1 year
990,I enjoy working here,5.0,"competitive salary, pays bonuses for good performance
solid benefits
lower-level management doesn't mind work-from-home or working unusual hours
fun bleeding edge engineering
colleagues are very nice","gloomy business outlook
management continually revokes frills (smaller cubicles, vacation days don't roll over...)
almost no annual bonus due to poor company financials
layoffs are almost annual",Be the first to find this review helpful,2016-03-10, Senior Software Development Engineer ,Austin, TX,Current Employee, more than 3 years
991,Environment,5.0,"overall, as of now, great.","overall, as of now, none",Be the first to find this review helpful,2016-03-08,  ,,,Current Employee,
992,Shooting itself on the foot,2.0,"-Like many reviews before point out, there is a good life-work balance. Be careful though because many individuals interpreted the very same thing in a more negative way (lack of ambition, schedules are rarely observed, ...). 

-There is a very positive consequence of not being a successful company: people tend to be more grounded than in other tech companies. The constant chaos results in workers that understand what the important things in life really are, and understand that most of them happen outside of the workplace.

-Strangely enough, you can get promoted fairly quickly (by elimination, everyone leaves but you), which may help out when you move to the next job","-The company is a mess. Upper management is there just to collect the $ and have no real intention to turn around the company (for starters, google ""AMD Rasgon bonuses"" and click on the Yahooo article)

-Employees are treated like idiots. We are promised a never-ending list of things that are oh-just-around-the-corner and never happen: more share in emerging markets, the emergence of a semi-custom business (fancy way to describe two game console wins), gaining market share back from NVIDIA (according to Lisa Su in 2014 ""there is no reason why AMD's graphics share should not be 50%"", it now stands below 30%), and so on. Fool me once, shame on you; fool me twice, shame on me (and then I leave)

-Constant layoffs plus attrition = scarce engineering talent. It is very difficult for AMD to come up with good products considering the amount of good people who left, and the fact that they have been replaced by so-so engineers since top talent will land elsewhere

-Morale is low. The parking lot is almost empty by 6.30pm. You meet strangers and five minutes they are openly making fun of the company. The ex-CEO is laid off and given $5M in cash but people do not see any salary raise when they are promoted. 

-As the result of all of the above, AMD's technology understandably is way behind, which results on a death spiral: less revenues -> more losses -> more layoffs -> products are delayed -> products are no attractive by the time they hit the market -> less revenues",11 people found this review helpful,2016-03-07, SMTS Design Engineer ,Austin, TX,Former Employee, more than 5 years
993,About AMD,3.0,Learn new things. Nice people. Good job environment.,Bad executives. Slow in promotion. Wrong decisions are made.,1 person found this review helpful,2016-03-06, Anonymous Employee ,Markham, ON,Current Employee, more than 5 years
994,Mixed,3.0,"Good people, interesting work and plenty to learn, realistic schedules.","Captains of the ship were constantly changing course and shuffling the crew - so the ship goes nowhere. Although lately the course stabilized somewhat - but many crew members lost hope and started to abandon the ship, which taking the water (financially) .",Be the first to find this review helpful,2016-03-05,  ,,,Current Employee,
995,mismanaged company with no vision,2.0,excellent people to work with,"poor management 
no unified strategy
complete mismanagement",5 people found this review helpful,2016-03-03, Anonymous Employee ,Andover, MA,Current Employee, more than 10 years
996,Mixed feelings,3.0,"Potential. Salary, good perks, benefits, GYM","Struggling management, 
Low energy
Lost focus",1 person found this review helpful,2016-02-28,  ,,,Former Employee, more than 1 year
997,Review,3.0,"AMD creates state-of-the-art microprocessor chips.  It is a good environment to gain experience, particularly for design and test.",AMD's has not been financially stable for several years and has been fighting a losing battle between Intel and NVidia.,2 people found this review helpful,2016-02-27,  ,Austin, TX,Current Employee,
998,"Relatively stable job, if you actually do work",4.0,"Still a relatively large company, flexible work environment, not much office politics at low levels.","Financially not doing well, vague road maps, promotion cycle is relatively slow",Be the first to find this review helpful,2016-02-26, Anonymous Employee ,,,Current Employee,
999,Good company to work for,2.0,"Flexible timing.
Freedom @ work.
Great place to work for.","Not up to the mark on technology
Manager friendly
Good Hikes are given to favourites",1 person found this review helpful,2016-02-26, Software Development Engineer II ,Hyderābād,,Former Employee, more than 3 years
1000,Overall is ok,3.0,"Benefit is reasonable.
Team leaders and colleagues are very supportive and friendly.
Flexible.","Endless of non work related activities and meetings. Difficult to complete our works on time.
Too much of non work related and work related projects.
Insufficient of headcounts for Fixed asset teams (Penang).",Be the first to find this review helpful,2016-02-26, Financial Accountant ,Kuala Lumpur,,Current Employee,
1001,Graphics Design Intern,4.0,Good helpful people. lots of opportunity to learn. fun to work with GPUs. Big campus in markham,too much lay offs. messy management. too many manager and less actual working people.,1 person found this review helpful,2016-02-25,  ,Toronto, ON,Former Employee, more than 1 year
1002,good but not great,4.0,very nice and flexible work culture,pay is not very good,Be the first to find this review helpful,2016-02-24, Anonymous Employee ,Bangalore,,Former Employee,
1003,Can be a good place to work,3.0,"AMD is always comes up with the fastest GPUs. So you get to work on some cutting edge technology, if you are lucky. Good flexi-timings, work from home options. Good gym facility and lovely campus in Sunnyvale.","While some of the tech is innovative, AMD needs to be more customer-centric.  AMD also needs to start thinking decades ahead if it wants to survive, rather than thinking of the next quarter and pleasing Wall St. - who are *not* the customers.",1 person found this review helpful,2016-02-23, Software Development Engineer II ,Sunnyvale, CA,Former Employee, more than 3 years
1004,Great work experience,4.0,Job is technically very challenging and you get to learn a lot. Also there are opportunities to broaden yourself.,Financially the company is not very stable.,Be the first to find this review helpful,2016-02-22,  ,,,Current Employee,
1005,mts 4,4.0,Good tech company to work for,AMD is a sinking ship,3 people found this review helpful,2016-02-18, MTS4 ,Sunnyvale, CA,Current Employee, more than 3 years
1006,Good,3.0,Good work environment and work life balance,unstability. company is  in loss continueously.,1 person found this review helpful,2016-02-18,  ,,,Current Employee,
1007,A few good men,3.0,"challenging design problems
flexibility - you can contribute at whatever level / intensity works for you
Still some amazingly smart people to work with. But lots of newer hires are sub par","morale is low
lots of the good engineers have left",1 person found this review helpful,2016-02-17, Engineering Manager ,Sunnyvale, CA,Current Employee, more than 8 years
1008,"Great People and Compensation, just needs stability.",3.0,"Aggressive compensation package, lets you utilize your individual strengths without any micro managing.  Amazing people within the organization that have unbelievable entrepreneurial spirit.   A culture of being fun and often wild rebels.","Lacks stability and constantly changing directions.  No support system, it is a sink or swim.  If you are not great at working on your own than you will drown.  Depending on the role their can be lots of travelling.",Be the first to find this review helpful,2016-02-16, National Account Manager ,,,Former Employee,
1009,Senior Member of Technical Staff,3.0,"Lots of diverse and interesting technical opportunities
Exciting, industry leading products to work on
Comfortable work environment with mostly reliable co-workers","Some of the management is really subpar
Company financials constantly in shambles",Be the first to find this review helpful,2016-02-13, Anonymous Employee ,,,Current Employee,
1010,Staff Mask Designer,4.0,Great working environment.   Great people.,Multiple road map changes to meet changing markets.,Be the first to find this review helpful,2016-02-10,  ,Sunnyvale, CA,Former Employee,
1011,Financial Analyst,2.0,"Exposure to senior leadership, diversity, networking.",AMD has been laying off people constantly because of restructuring. Not a good place to start a long-term career.,2 people found this review helpful,2016-02-09, Financial Analyst ,Austin, TX,Former Employee, less than 1 year
1012,MTS,5.0,Good work. Good work environment.,Scant and non existent bonuses and unstability fear.,Be the first to find this review helpful,2016-02-07,  ,,,Former Employee,
1013,"Good people, pathological company",2.0,"- Lots of smart talent
- Depending on team, can have decent manager
- Interesting opps if on right team
- Very fair compensation - probably end up paying a slight premium to acquire and retain talent","- Too far behind Intel to ever really match them
- Also tends to lose out to Nvidia on high-end graphics cards
- Can't see the company surviving in its current form for more than next 18-24 mos.
- Ineffective process and bureaucracy is rampant
- If you stick around long enough, messaging as to when things will be better sounds suspiciously familiar (cause same old story trotted out)",1 person found this review helpful,2016-02-07, Anonymous Employee ,,,Former Employee, more than 3 years
1014,Good Place to work and learn,5.0,"Small teams to work, reasonable work hours and there is some flexibility to work from home. Good (or in-line with other companies in bay area) benefits.",Lack of communication from the management. Too many changes in project planning. Bonus plan is unpredictable.,Be the first to find this review helpful,2016-02-06, Senior Design Engineer ,Sunnyvale, CA,Current Employee, more than 5 years
1015,Work Life Balanced Company,4.0,Colleagues are good to work with and a lot of things to learn,Performance Bonus consider lesser than other previous company,Be the first to find this review helpful,2016-02-06, Senior IT Analyst ,Cyberjaya,,Former Employee,
1016,Friendly environment,4.0,Co-workers are nice and friendly. Work hours are reasonable. Learn a lot new skills in short time. Have standard medical insurance and secure insurance.,The salary is not great compared to other companies in bay area. do not have free meal for lunch. The bonus is relatively small compared to other companies.,Be the first to find this review helpful,2016-02-05, Software Development Engineer II ,Sunnyvale, CA,Current Employee,
1017,Design Engineer 2,5.0,"good senior management, good work environment and learning opportunities","he Company has been in ""transformation"" for several years now, resulting in multiple and continuous budget and operational cuts.",1 person found this review helpful,2016-02-03, Design Engineer ,Austin, TX,Current Employee,
1018,Very unique experience to say the least,3.0,"* AMD is a hardware company, so even the software you write is substantially different than what you would get to see at other companies. It's a very unique experience that I've generally enjoyed as someone who really likes C
* There are some very intelligent people there that I've gained a lot form","* Despite the fact they do have intelligent people, they don't really give them the space and opportunity to thrive
* Everything needs to be finished yesterday, very unrealistic deadlines
* Morale isn't that great, which can likely be attributed to the fact that they aren't doing so great these days",2 people found this review helpful,2016-02-03, Anonymous Employee ,Markham, ON,Current Employee,
1019,"Good experience, and great team members to work with!",4.0,"Learned a lot of new stuff, and was always guided and mentored nicely","The location of the office is obscure, and the food could be better because other food places are virtually inaccessible unless you have a car to travel to the nearest mall",Be the first to find this review helpful,2016-02-01,  ,,,Former Employee,
1020,Flexible work environment,5.0,"Everyone is nice, lots of smart ppl.","Too much layoff, waste too much money on severance pay only to hire them back a while later",Be the first to find this review helpful,2016-01-29, Anonymous Employee ,,,Current Employee,
1021,Co-op engineer,5.0,Good work environment and friendly co workers,"Away from the city,inefficient public transport",Be the first to find this review helpful,2016-01-29, Engineering Co-Op ,Singapore,,Current Employee,
1022,Difficult Times,2.0,"Very dedicated co-workers, great people.","The Company has been in ""transformation"" for several years now, resulting in multiple and continuous budget and operational cuts.  RIFs occur fairly regularly every October.",4 people found this review helpful,2016-01-26,  ,,,Former Employee,
1023,Soffware,3.0,AMD has a Relax working environment,a lot of Layoff happen during recent years,1 person found this review helpful,2016-01-24,  ,,,Former Employee,
1024,Good place for internship. Not the place for ones seeking job security.,3.0,Team Members open to suggestion / discussion about potential improvement on efficiency.,"Very unstable job security, multiple layoffs during the internship.",Be the first to find this review helpful,2016-01-24,  ,,,Former Employee,
1025,Bad bus drivers,3.0,"Good pay and benefits, great family\team environment","All that's gone now, cube farm, lots of poor management over the years with lots of turn over, went from building a great product to just keeping stockholders happy",1 person found this review helpful,2016-01-20,  ,,,Former Employee,
1026,Market Research Analyst,3.0,"ADM is a engineer-centric work place, you work with smart coworkers who knows their stuff. Managers are well trained and they promote from within which is great for people who start from the bottom.","Stock price still down in the dumps. Lack of strong vision and leadership and product offerings always one step behind Intel. Need a game changer to beat Intel in their game. We need yout to come back, AMD!",1 person found this review helpful,2016-01-19, Anonymous Employee ,Austin, TX,Former Employee, more than 3 years
1027,Short-sighted,3.0,"Loved the team I worked with, but there was a ton of organizational change. I was with the company for 6 years and had 8 cubes in 4 buildings on 2 campuses.",The company seemed very short-sighted. We would lay off large numbers of people then hire a bunch back. It just seemed like we were operating quarter by quarter with no attention paid to the long-term health of the company.,1 person found this review helpful,2016-01-19,  ,,,Former Employee,
1028,Strategic Alliance and Partner Engagement Manager,2.0,It used to be an innovative and fun place to work.,Downfall of the company is primarily caused due to poor decisions by upper management.  Unfortunately they are immune from layoffs and still continue to earn fat paychecks.,1 person found this review helpful,2016-01-18, Strategic Alliance and Partner Engagement Manager ,Austin, TX,Current Employee, more than 8 years
1029,Good company for freshers,3.0,Challenging work in the industry.,Road map changes almost every year,Be the first to find this review helpful,2016-01-15, Design Engineer II ,Banga,,Former Employee,
1030,Finance Manager,3.0,Company is considerate of work life balance,AMD's business is struggling right now.,Be the first to find this review helpful,2016-01-14, Finance Manager ,Austin, TX,Current Employee,
1031,Sr. ASIC/Layout Design Engineer,5.0,great technology global team work nice team member,not profit need recover from weak PC market,Be the first to find this review helpful,2016-01-13, Senior ASIC/Layout Design Engineer ,Beijing," Beijing, Beijing",Current Employee, more than 3 years
1032,Solid experience,4.0,"Professional 
Good colleagues 
Opens up doors for other oppprtunities","Office Politics 
Mundane work sometimes
really need to take initiative to ask for important work. Sometimes even then stuck doing mundane tasks.",Be the first to find this review helpful,2016-01-12,  ,,,Former Employee,
1033,ok,4.0,"good environment, friendly co worker",lack of energetic. some time need to work on weekend,Be the first to find this review helpful,2016-01-10,  ,Santa Barbara, CA,Former Employee, less than 1 year
1034,Good Place,4.0,"Work with smart and nice guys.
Doing real technical jobs, learn a lot
Vocation policy is OK and flexible time everyday","The company's business seems not good. Stock price keep low for long time.
The company is old-style. And especially food is not good. And hard to find the restaurants nearby.",Be the first to find this review helpful,2016-01-09, Software Development Engineer ,,,Current Employee,
1035,Large Carcass,1.0,AMD was a great company with great people,The executive team continues to beat the remaining employees into submission with endless job cuts and austerity measures. The morale and energy has been destroyed by a lack of leadership. When the top 6 people at the company reward themselves with over $32M in salary and bonus pay while the company flounders - they are just feeding off a large carcass and lying to the world about their intent.,11 people found this review helpful,2016-01-08, Executive ,Austin, TX,Current Employee, more than 10 years
1036,Sr Member of Technical Staff,3.0,"Great opportunities in discrete GPU, virtual reality and server chips","Their business is not growing, PC is contracting,  limiting individual growth within the company",3 people found this review helpful,2016-01-07, Senior Member of Technical Staff ,,,Former Employee,
1037,Co-Op,5.0,"Freedom of work, great work place","No such Cons, good company",Be the first to find this review helpful,2016-01-06,  ,,,Former Employee,
1038,Technical Lead,4.0,This is definitely a great company to work for. Very innovative and on the bleeding edge of technology. One could learn a lot from working here.,"The company makes some strange business decisions. Has to cut the workforce frequently because of such decisions. AMD doesn't seem too keen on innovation, just following in the footsteps of others.",1 person found this review helpful,2016-01-05, Lead Software Engineer ,Markham, ON,Former Employee, more than 1 year
1039,Regional Head Talent Acquisition - APJ,5.0,"Innovative
Dynamic Pace at Work
Leadership 
Culture
Compensation","Highly Ethical 
Dynamic Pace of Work
Nothing more
Nothing more
Nothing more",Be the first to find this review helpful,2016-01-04, Regional Head Talent Acquisition - APJ ,Hyderābād,,Current Employee, more than 5 years
1040,How many ARM you sold? How much Seamicro lose out?,1.0,"Have good time, enjoy work compete with Intel in Dirk Meyer era.  
Company is screwed up after Meyer left.","- New management is disaster.  Gave up x86 server product line and move major resources to ARM. Please tell share holders how many ARM you sold?  Now almost marketable smart guys gone, rest mediocre wait for layoff package or playing politics for survive. 

- In 2012 spent  $334 millions acquired SeaMicro, promote lots of VPs, directors, senior managers and PMTS with Google like benefit, e.g. free food, snacks and fixed high bonus, eventually dump all 120 people and IPs in April 2015, no more SeaMicro products, Please tell share holders how much cash wasted in this money pit?

- There is no fair stack ranking & review process.  Bonus, promotion even layoff list depend on your boss like you or not.",4 people found this review helpful,2015-12-31, Member of Technical Staff Developer ,,,Former Employee, more than 5 years
1041,Senior Product Development Engineer,3.0,"Nice people, great technology, good work/balance","company's financial situation, shadow outlook",Be the first to find this review helpful,2015-12-29, Senior Product Development Engineer ,Austin, TX,Former Employee, more than 8 years
1042,review of AMD,3.0,good for learning work .,"disappointment from salary, and hikes.",Be the first to find this review helpful,2015-12-27,  ,,,Former Employee,
1043,AMD is a Harvard case of a total epic fail...,1.0,Not many at all but they did have a great campus cafeteria (Austin) and decent benefit package. Campus was very pretty and pleasing to the eye. They built it on a nature preserve.,Culture and senior leadership is an issue. Culture isn't conducive to innovation and competitive progress. Senior leadership is very unique and dysfunctional. There are so many layers of VPs that it's nearly impossible to get something approved in a timely manner.,6 people found this review helpful,2015-12-25, Strategy Manager ,Austin, TX,Former Employee, more than 3 years
1044,Technical Staff,3.0,Good balance between work and family time. Lots of great and talented people. Lots of opportunities for newly grads.,Management is at a loss and lacks focus. Money is limited so not much room for career improvement. Too much time spent on meetings.,1 person found this review helpful,2015-12-18,  ,Austin, TX,Former Employee,
1045,mts software engineer,3.0,good for beginners to learn new technologies,upper management problem - no direction,Be the first to find this review helpful,2015-12-17, Anonymous Employee ,,,Former Employee,
1046,"Once was People-First, now is Please-The-Management",2.0,Lots of freedom to develop new methodologies. Generally not a micromanaged culture. they try to allow telework and/or WFH options.,"Lots of fire drills done just to make pretty pictures for executives, at the cost of value-added work. Poor management and financial commitments made without consulting those who will do the work are  leading to unworkable projects that can't be fixed in the budget we have. 
They are also cutting benefits right and left, and not giving raises or bonuses like they used to. 
shrinking career opportunities, limited training.",4 people found this review helpful,2015-12-17, Anonymous Employee ,Austin, TX,Current Employee, more than 8 years
1047,Former AMDer,1.0,Compensation is adjusted for risk,Management is the worst I've seen,2 people found this review helpful,2015-12-17, Vice President ,Austin, TX,Former Employee, more than 5 years
1048,Great Company,5.0,"Great team, great people, good experience there",Some tech is extremely old,Be the first to find this review helpful,2015-12-17,  ,,,Former Employee,
1049,Review,4.0,Campus is in good part of town,Lack of leadership that never ventured in to any new markets/products other than CPU's..,Be the first to find this review helpful,2015-12-14,  ,Austin, TX,Former Employee,
1050,Internship at Sunnyvale Office,4.0,"California, Silicon Valley, Networking, Environment, Nice people","Costs, Rent, Food, Lack of public transit",Be the first to find this review helpful,2015-12-12,  ,,,Former Employee,
1051,Prosscesors,5.0,Good money and I like it challenging and not boring job where you actually do something instead of someone telling you to do nothing,Whenever I work when making processors to make a better experience for the new PC are being built in today's days is always hard to choose,Be the first to find this review helpful,2015-12-11, Senior Process Engineer ,,,Former Employee, more than 5 years
1052,Outlook=bad,2.0,Can't think of any that would be considered a pro.,Vision of company is not sustainable.,Be the first to find this review helpful,2015-12-10, Senior Manager ,Austin, TX,Current Employee, more than 1 year
1053,Lack of sense in lay-off practices.,2.0,Large company wants to grow,Large company not close nit.,1 person found this review helpful,2015-12-10, Manager ,Suwanee, GA,Former Employee, more than 1 year
1054,Software Coop,4.0,Great coop experience for software developer. It was not a QA job and were able to get involved in latest products. Great team atmosphere.,"Pays slightly lower than average, and no paid vacation nor sick days. Company had a large wave of laid off recently.",Be the first to find this review helpful,2015-12-06, Anonymous Employee ,,,Former Employee,
1055,Very good experience,4.0,"* Great team of talented engineers to work with
* Always got to work on cutting edge technology and chance to learn new things
* Innovation and ideas are always encouraged and accepted.
* Good pay and other benefits",* Change in vacation policy (i.e. not allowed to carry-over vacation) was not a very good idea.,2 people found this review helpful,2015-12-05, Anonymous Employee ,Austin, TX,Former Employee, more than 10 years
1056,co-op,4.0,"it has flexible work time, flexible vacation time. the cafeteria is good, I enjoyed the lunch there  and plus onsite gym is not bad.",the company currently is not in the best condition. I mean it's experiencing some kind of crisis that it urgently needs some breakthrough in its product and marketing,1 person found this review helpful,2015-12-05, Engineering Coop ,Austin, TX,Current Employee, less than 1 year
1057,Good environment,4.0,"Friendly managers, good environment, professional employees",insecurities due to transitions The company is going through,Be the first to find this review helpful,2015-12-02,  ,,,Current Employee,
1058,Administrative,3.0,"Good location in Austin, Texas",Not sure about the company itself.,Be the first to find this review helpful,2015-12-02, Administrative ,Austin, TX,Former Employee,
1059,Politics and personal gains agenda in the team i worked,1.0,Work was good and challenging,Too many politics by my Boss(not a manager) and his manager. I worked in a central groups so the impact will be very high on the organization. HR is not proactive and virtually absent,1 person found this review helpful,2015-12-01, Anonymous Employee ,Hyderābād,,Former Employee, more than 5 years
1060,Talent Pool Decreasing,2.0,A good place to start out in semiconductor industry.,"Management lacks judgment in recruiting new talent. Witnessed many technically-challenged recruits brought in to man senior engineering positions, thus breeding discontent among the seasoned but reticent engineers. Compensation does not commensurate with work.",2 people found this review helpful,2015-11-28, Anonymous Employee ,Austin, TX,Current Employee,
1061,Business Development Manager,4.0,Ability to influence upper management for the strategy for the product / region strategies.,AMD needs to have more products manufactured with other hardware vendors to capture more commercial and embedded product market.,Be the first to find this review helpful,2015-11-27, Anonymous Employee ,,,Former Employee, more than 1 year
1062,Good Work but not good work culture.,2.0,Good Work in Design Verification .Offer flexible work timings .Average Salary .,They will suck you dry and spit you out .The management is not transparent .Do not encourage knowledge sharing .If you share too much knowledge then you will become redundant and will be laid-off. I have seen all the good people leave in front of me .Bad people have a group and whomsoever does not comply with their expectations shall be laid off .If you do not become a part of this group of the know-all then forget about any recognition for work .People have fallen sick due to stress related issues.,Be the first to find this review helpful,2015-11-27, Anonymous Employee ,,,Former Employee,
1063,Hardware Engineer,3.0,Fun to work with the latest technology,Culture is a bit down,Be the first to find this review helpful,2015-11-26,  ,Mississauga, ON,Current Employee, less than 1 year
